кро́хотный;malutki
росто́к;kiełek 
поту́хший; wygasły 
го́рдый;dumny 
коро́ль; król
мона́рх;monarcha, władca
абсолю́тный;absolutny, zupełny, całkowity
ма́йский;majowy
шёлковый; jedwabny
шёлк; jedwab
плато́к;chusta,chustka
профе́ссия;zawód, profesja
друго́й;inny,drugi, następny
огро́мный;ogromny, olbrzymi
ключево́й; kluczowy, najistotniejszy, strategiczny, źródlany, zdrojowy
ключева́я вода́;woda źródlana
ключ;klucz,źródło
ста́рый;stary
#Э́то старо́ как мир.;To jest stare jak świat.
молодо́й;młody
сме́ртная казнь;kara śmierci 
но́вый;nowy 
звезда́;gwiazda 
откры́тие;odkrycie; otwarcie
серьёзный;poważny
основа́ние;założenie, podstawa, zasada  
совреме́нный;współczesny,nowoczesny
великоле́пный;wspaniały, wyśmienity
зре́лище;widowisko
ведро́; wiadro 
нача́льный;początkowy
образова́ние;wykształcenie 
вы́сшее образова́ние; wyższe wykształcenie 
тря́почный;szmaciany
ку́кла; lalka 
продово́льственный; spożywczy, żywnościowy
продово́льственный магази́н;sklep spożywczy
конди́терская;cukiernia
конди́терский;cukierniczy
моло́чный;mleczny, mleczarski
молоко́; mleko
мясно́й;mięsny 
фру́кты;owoce
фрукто́вый; owocowy 
отде́л;oddział, wydział,dział
полуфабрика́т;półprodukt (głównie spożywczy)
бифште́кс;befsztyk
варёный;gotowany
у́тка;kaczka 
газе́тная у́тка; kaczka dziennikarska 
пу́динг;budyń
обходи́ть; obchodzić 
купи́ть;kupić
покупа́ть;kupować
поку́пки;zakupy
ка́сса;kasa
зате́м; potem, następnie, po to
буты́лка;butelka
коро́бка;pudełko ,pudło
коро́бка переда́ч;skrzynia biegów 
коро́бка конфе́т;pudełko cukierków
па́чка;paczka,plik,opakowanie
па́чка ма́сла;kostka masła
па́чка ко́фе; opakowanie kawy
ко́фе;kawa(nieodmienny)
пече́нье;ciasteczko, herbatnik
печь;piec
#печь ter. lp пеку́, печёшь, печёт; lm печём, печёте, пеку́т; przesz. lp пёк / пекла́ / пекло́; lm пекли́; rozk. lp пеки́; ims. пеку́щий, пёкший, печёный
обе́денный;obiadowy
обе́д;obiad
зака́зывать;zamawiać
заказа́ть;zamówić
ба́нка;bańka, puszka, słoik
ба́нка дже́ма;słoik dżemu
бу́лочка;bułeczka
 све́жий;świeży 
деся́ток;dziesiątka,dekada
 сухо́й;suchy 
 не́сколько;kilka/kilku, parę/paru, trochę, nieco
сда́ча; reszta,przekazanie,dostawa
Ско́лко с меня́?- Ile jestem winien? Ilę płacę?
употребле́ние;wykorzystanie, użycie, zastosowanie
употребля́ть;używać
упражне́ние;ćwiczenie
идти́;iść 
#идти́ ter. lp иду́, идёшь, идёт; lm идём, идёте, идут; przesz. lp шёл / шла / шло; lm шли; rozk. lp иди́; ims. иду́щий, идя́ (przest. и́дучи)
ходи́ть;chodzić
#ходи́ть ter. lp хожу́, хо́дишь, хо́дит; lm хо́дим, хо́дите, хо́дят; przesz. lp ходи́л / ходи́ла / ходи́ло; lm ходи́ли; rozk. lp ходи́; ims.
бу́лочная;sklep z pieczywem, piekarnia

