кастрю́ля ; garnek
кры́шка ; pokrywka
сковорода́  ; patelnia
стекло́  ; szkło
ло́жка ; łyżka
ви́лка ; widelec,wtyczka
таре́лка ; tależ
кру́жка ; kubek
горе́ть ; palić się, płonąć 
ого́нь ; ogień
ударе́ние ; akcent
кран ; kran
полоте́нце ; ręcznik
но́жницы ; nożyczki
ре́зать ; kroić, ciąć
ре́жу;kroję
ре́жешь;kroisz
ре́жет;kroi
ре́жем;kroimy
ре́жете;kroicie
ре́жут;kroją
ре́зал;kroił
ре́зала;kroiła
ре́зало;kroiło
ре́зали;kroili
отреза́ть ; odcinać
выреза́ть ; wycinać
ждать; czekać
жду;czekam
ждёшь;czekasz
ждёт;czeka
ждём;czekamy
ждёте;czekacie
ждут;czekają
подожда́ть;poczekać
подожди́ ;poczekaj
спи́чка ; zapałka
пра́вило ; zasada, reguła
пра́вильный ; prawidłowy
пра́вильно ; słusznie, właściwie
цвет ; kolor
цвето́к ; kwiat
са́хар ; cukier
соль ; sól
ма́сло ; olej
сли́вочное ма́сло ; masło śmietankowe
мука́ ; mąka
му́ка ; męka
сли́вки ; śmietanka
смета́на ; śmietana
я́блоко ;jabłko
апельси́н; pomarańcza
сиро́п ; syrop
называ́ть ; nazywać  
называ́ю;nazywam
называ́ешь;nazywasz
называ́ет;nazywa
называ́ем;nazywamy
называ́ете;nazywacie
называ́ют;nazywają
стира́льная маши́на ; pralka (2sł)
стира́лька ;pralka (1 sł)
му́сор ;śmieć,śmieci
му́сорка ; śmietnik
глаго́л ; czasownik
ру́чка ; rączka, uchwyt, klamka, długopis
паке́т ; paczka, torba, reklamówka
су́мка ; torba, torebka
розе́тка ; gniazdko
батаре́я ; bateria
отопи́тельная батаре́я ; kaloryfer
батаре́йка ; bateryjka
чесно́к ; czosnek
припра́ва ; przyprawa
зажига́лка ; zapalniczka
прище́пка ; spinacz
во́лосы ; włosy
гла́з;oko
глаза́;oczy
нос ; nos
смотре́ть ; patrzeć, spoglądać, oglądać, przeglądać
смотрю́;patrzę
смо́тришь;patrzysz
смо́трит;patrzy
