пу́говица;guzik 
зе́ркало;lustro 
дво́рник;dozorca
лопа́та;łopata  
пусты́рь;pustka, bezludzie   
прово́рный;zręczny 
слог;sylaba  
лётчик;lotnik, pilot
остально́й;pozostały
навеща́ть;odwiedzać, nawiedzać
подва́л;piwnica  
предпочита́ть;woleć
пла́вный;płynny 
состоя́ние;(1.1) stan, (1.2) majątek 
впро́чем;zresztą
тормози́ть; hamować 
реша́ть;czas. przech. niedok.(1.1) decydować, postanawiać (1.2) rozwiązywać (problem, zadanie) 
реши́ть;czas. dok.(1.1) zdecydować (1.2) zadanie, problem rozwiązać 
реше́ние;rzecz., r. n.(1.1) postanowienie, decyzja (1.2) rozwiązanie  (1.3) rozwiązanie, rozstrzygnięcie (1.4) uchwała, decyzja (1.5) praw. orzeczenie, werdykt, wyrok 
поднима́ться;czas. zwrotny (1.1) podnosić się 
ле́стница;schody 
сва́дьба;wesele,ślub
